City; Number of rooms; Floor Size; Price
Mapusa; 3; 133 FTK ; 85 Lac
Mapusa; 2; 83 FTK ; 42.9 Lac
Assagao; 1; 116 FTK ; 47 Lac
Mapusa; 2; 102 FTK ; 53 Lac
Karaswada; 2; 147 FTK ; 56 Lac
Mapusa; 3; 8500 FTK ; 85 Lac
Mapusa; 8; 116 FTK ; 3.65 Cr
Mapusa; 2; 147 FTK ; 48 Lac
Mapusa; 3; 1000 FTK ; 80 Lac
Mapusa; 2; 830 FTK ; 37 Lac
Mapusa; 2; 71 FTK ; 38 Lac
Karaswada; 2; 90 FTK ; 39 Lac
Mapusa; 2; 4000 FTK ; 65 Lac
Karaswada; 2; 58 FTK ; 39 Lac
Mapusa; 7; 74 FTK ; 5.50 Cr
Mapusa; 1; 102 FTK ; 30.6 Lac
Mapusa; 1; 147 FTK ; 30 Lac
Karaswada; 2; 92 FTK ; 49 Lac
Mapusa; 3; 109 FTK ; 75 Lac
Mapusa; 2; 69 FTK ; 55 Lac
Mapusa; 2; 137 FTK ; 53.4 Lac
Mapusa; 2; 102 FTK ; 35 Lac
Mapusa; 1; 140 FTK ; 35.9 Lac
Mapusa; 3; 85 FTK ; 90 Lac
Karaswada; 2; 104 FTK ; 51 Lac
Karaswada; 3; 88 FTK ; 62 Lac
Mapusa; 2; 99 FTK ; 35 Lac
Mapusa; 2; 100 FTK ; 46.8 Lac
Mapusa; 2; undefined; 45.8 Lac
Karaswada; 2; undefined; 49.3 Lac
Mapusa; 2; undefined; 35 Lac
